2141	6	37	587728950388917007	1139.014	484.9408	-9999	-9999	-9999	-9999	281474976710912	24.1482	25.5013	25.6612	25.98613	22.07089	1.172559	0.604721	0.651334	0.4187565	0.6403347
2188	2	197	587729149846946411	1126.941	562.7115	-0.114195	-0.04601634	0.1481368	0.1512895	281543964623104	23.31134	23.82046	22.48416	21.97772	21.10788	0.8292656	0.4325428	0.1983802	0.175872	0.3514755
2188	2	197	587729149846946412	1132.5	1850.673	0	0	-9999	-9999	281543964623104	23.76166	23.63313	22.43332	23.09017	23.07773	1.094299	0.3702224	0.1832749	0.4435619	0.8383577
2188	2	197	587729149846946413	1135.217	729.9003	0	0	-9999	-9999	281543964754176	22.97637	24.48936	22.43891	22.11502	21.08448	0.6332025	0.6565018	0.1894827	0.1985535	0.3453173
2188	2	197	587729149846946414	1146.032	1845.271	0	0	-9999	-9999	281543964623104	24.34507	25.14849	22.49294	24.91314	22.09203	1.426388	0.766417	0.1930993	0.6878921	0.6958681
2188	2	197	587729149846946415	1161.181	537.1201	0	0	-9999	-9999	281543964623104	26.32709	23.88405	22.4683	22.45347	21.99719	0.5764312	0.453364	0.1958402	0.2664168	0.677407
2188	2	197	587729149846946416	1165.646	917.7455	0.004650147	0.0102351	0.03035636	0.02224168	68987912448	25.79508	23.16627	22.09086	21.2144	20.34056	0.909998	0.2544635	0.1390199	0.09013557	0.1821355
2188	2	197	587729149846946417	1186.599	1615.374	0.03370485	0.04186394	0.07417303	0.06123173	281543964623104	22.63978	23.25996	22.16855	21.74849	21.57552	0.4683503	0.2753436	0.1464846	0.143335	0.5018929
2188	2	197	587729149846946418	1199.503	384.7418	0.09392677	0.03713685	0.06565211	0.08753172	281543964623104	25.54137	23.1493	22.29329	21.89007	21.85969	1.055954	0.2499558	0.1692698	0.1628866	0.6221373
2188	2	197	587729149846946419	1219.062	511.2067	0	0	-9999	-9999	439873639153920	26.1804	24.85854	22.36685	21.96326	21.01628	0.6536582	0.7448606	0.241628	0.1740171	0.3251558
